name,type,side,eco_code,moves
Benko Gambit - Accepted - Fianchetto Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nf3 g6 6.g3 Bg7
Benko Gambit - Accepted - Fully Accepted Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nf3 g6 6.g3 Bg7 7.Bg2 Bg7 8.O-O O-O 9.Nc3
Benko Gambit - Accepted - King Walk Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nf3 g6 6.a4 Bg7 7.Nc3 O-O 8.h4
Benko Gambit - Accepted - Modern Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 d6 6.e4 Bg7
Benko Gambit - Accepted - Pawn Return Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.a4
Benko Gambit - Accepted - Yugoslav with 7...Bxf1 - Nge2,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 d6 6.e4 Bg7 7.Nf3 Bg4 8.Ng1 Bxf1 9.Kxf1 Nge2
Benko Gambit - Accepted - Yugoslav without 7...Bxf1,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 d6 6.e4 Bg7 7.Nf3 Bg4
Benko Gambit - Declined - Bishop Attack,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 d6 5.e3 g6 6.cxb5 a6 7.bxa6 Bg7 8.Nc3 O-O 9.a4 Bxa6 10.Bxa6 Nxa6
Benko Gambit - Declined - Main Line,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 d6 5.e3 g6 6.cxb5 a6 7.bxa6 Bg7 8.Nc3 O-O
Benko Gambit - Declined - Pseudo-Saemisch,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 d6 5.Nbd2
Benko Gambit - Declined - Quiet Line,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 d6 5.cxb5 a6 6.Nc3 g6 7.a4 Bg7 8.e4 O-O 9.Be2
Benko Gambit - Declined - Sosonko Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 d6 5.cxb5 a6 6.a4 g6
Benko Gambit - General,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5
Benko Gambit - Zaitsev System,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 g6 5.cxb5 a6 6.a4 Bg7 7.Nc3 O-O 8.e4 d6
Benko Gambit - Zaitsev Variation - Nescafe Frappe Attack,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6 Bg7 6.Nc3 O-O 7.e4 d6 8.a4 e6 9.Nf3 exd5 10.exd5 Re8+ 11.Be2 Nbd7
Benoni Defense  -,Opening,Black,A60,1.d4 c5
Benoni Defense  Benoni-Indian - 6.e4,Opening,Black,A60,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.e4 fxe4 6.Nxe4 Nf6 7.Nxf6+ Qxf6 8.Ne2
Benoni Defense  Benoni-Indian - 6.e4 g6,Opening,Black,A60,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.e4 fxe4 6.Nxe4 g6
Benoni Defense  Benoni-Indian - Fianchetto - Classical,Opening,Black,A60,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g3 Nf6 6.Bg2 Be7 7.Nh3
Benoni Defense  Classical Variation,Opening,Black,A61,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6
Benoni Defense  Classical with ...Be7,Opening,Black,A61,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Be7
Benoni Defense  Classical - ...a6 and ...Bg4,Opening,Black,A62,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Qc2 a6 8.h4 Bg4
Benoni Defense  Classical - ...a6 and ...Nbd7,Opening,Black,A62,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Qc2 a6 8.Bg2 Nbd7
Benoni Defense  Classical - ...a6 and ...Nbd7,Opening,Black,A62,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Qc2 a6 8.Bg2 Nbd7
Benoni Defense  Classical - ...a6 and ...Qe7,Opening,Black,A62,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Qc2 a6 8.e4 Qe7
Benoni Defense  Classical - ...a6 and ...Re8,Opening,Black,A62,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Qc2 a6 8.e4 Re8
Benoni Defense  Classical - 7.Nf3 O-O,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Nf3 O-O
Benoni Defense  Classical - 9.O-O,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Nf3 Be7 8.h4 O-O
Benoni Defense  Classical - 9.O-O - ...a6,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 Nf6 6.g5 Ne4 7.Nf3 Be7 8.h4 O-O 9.a4 a6
Benoni Defense  Fianchetto Variation,Opening,Black,A64,1.d4 c5 2.d5 d6 3.c4 e5 4.g3 f5
Benoni Defense  Fianchetto - Classical - 9.O-O,Opening,Black,A64,1.d4 c5 2.d5 d6 3.c4 e5 4.g3 f5 5.Bg2 Nf6 6.Nc3 Be7 7.Nf3 O-O
Benoni Defense  Flick-Knife Attack,Opening,Black,A65,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4
Benoni Defense  Flick-Knife Attack - Main line,Opening,Black,A65,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 f5 5.g4 fxg4 6.h3
Benoni Defense  Modern Benoni - 4.Nc3,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 Nf6
Benoni Defense  Modern Variation,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 Nf6 5.e4 g6
Benoni Defense  Taimanov Variation,Opening,Black,A63,1.d4 c5 2.d5 d6 3.c4 e5 4.Nc3 Nf6 5.e4 g6 6.Be3 Bg7
Benoni Defense - Benoni Gambit Accepted,Opening,Black,A60,1.d4 c5 2.d5 e5
Benoni Defense - Benoni Gambit - Schlenker Defense,Opening,Black,A61,1.d4 c5 2.d5 e5 3.c4 d6
Benoni Defense - Benoni-Indian Defense,Opening,Black,A62,1.d4 c5 2.d5 Nf6
Benoni Defense - Benoni-Indian Defense - Kingside move order,Opening,Black,A63,1.d4 Nf6 2.c4 c5 3.d5 e6
Benoni Defense - Classical Variation - Argentine Counterattack,Opening,Black,A65,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2
Benoni Defense - Classical Variation - Averbakh-Grivas Attack,Opening,Black,A66,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.a4
Benoni Defense - Classical Variation - Czerniak Defense,Opening,Black,A67,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.f3
Benoni Defense - Classical Variation - Czerniak Defense,Opening,Black,A68,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.f3 a6
Benoni Defense - Classical Variation - Czerniak Defense,Opening,Black,A69,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.f3 a6 12.a4
Benoni Defense - Classical Variation - Czerniak Defense - Tal Line,Opening,Black,A70,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.f3 a6 12.a4 b6
Benoni Defense - Classical Variation - Full line,Opening,Black,A71,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.f3 a6 12.a4 b6 13.Nc4 Qc7
Benoni Defense - Classical Variation - General,Opening,Black,A72,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7
Benoni Defense - Classical Variation - Main line,Opening,Black,A73,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.a4 a6
Benoni Defense - Classical Variation - New York Variation,Opening,Black,A74,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.a4 a6 12.f3
Benoni Defense - Classical Variation - Traditional Variation,Opening,Black,A75,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Nbd7 11.a4 a6 12.f3 b6
Benoni Defense - Czech Benoni Defense,Opening,Black,A77,1.d4 d6 2.c4 c5 3.d5 e5
Benoni Defense - Fianchetto Variation,Opening,Black,A78,1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7 5.g3 d6
Benoni Defense - Fianchetto Variation - Hastings Defense,Opening,Black,A79,1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7 5.g3 d6 6.Bg2 O-O 7.Nf3 Na6
Benoni Defense - Fianchetto Variation - Hastings Defense - Main Line,Opening,Black,A80,1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7 5.g3 d6 6.Bg2 O-O 7.Nf3 Na6 8.O-O Nc7
Benoni Defense - Four Pawns Attack,Opening,White,A81,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 e5 5.e4
Benoni Defense - Four Pawns Attack - Main Line,Opening,White,A82,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 e5 5.e4 Bd6
Benoni Defense - Franco-Sicilian Defense,Opening,Black,A83,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6
Benoni Defense - General,Opening,Black,A84,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6
Benoni Defense - Hromodka System,Opening,Black,A85,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Re8 10.Nd2
Benoni Defense - King Pawn lines,Opening,Black,A86,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6
Benoni Defense - King's Indian System,Opening,Black,A87,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6
Benoni Defense - Knight's Tour Variation,Opening,Black,A88,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.a4 Bg7
Benoni Defense - Mikenas Variation,Opening,Black,A89,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O exd5 10.Nd2
Benoni Defense - Modern Variation,Opening,Black,A90,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6
Benoni Defense - Modern Variation,Opening,Black,A91,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O
Benoni Defense - Modern Variation - Snake Variation,Opening,Black,A92,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5 Bg7
Benoni Defense - Old Benoni,Opening,Black,A93,1.d4 c5
Benoni Defense - Old Benoni Defense - Clarendon Court Variation,Opening,Black,A94,1.d4 c5 2.d5 e5 3.c4 d6
Benoni Defense - Old Benoni - Pawn Thrust,Opening,Black,A95,1.d4 c5 2.d5 e5 3.c4 d6 4.e4 f5
Benoni Defense - Old Benoni - Russian Variation,Opening,Black,A96,1.d4 c5 2.d5 e5 3.c4 d6 4.Nc3 f5
Benoni Defense - Pawn Storm Variation,Opening,Black,A97,1.d4 c5 2.d5 e5 3.Nc3 d6 4.e4 f5
Benoni Defense - Taimanov Variation,Opening,Black,A98,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Re8 10.Nd2
Benoni Defense - Uhlmann Variation,Opening,Black,A99,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5 Bg7 8.e4 O-O
Benoni Defense - Vulture Defense,Opening,Black,A40,1.d4 Nf6 2.c4 c5 3.d5 b5
Benoni Defense - Weenink Variation,Opening,Black,A41,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 g6 5.a4 b4 6.a5
Bird Opening,Opening,White,A02,1.f4
Bird Opening - From Gambit,Opening,White,A03,1.f4 d5
Bird Opening - Dutch Variation,Opening,White,A03,1.f4 d5 2.Nf3 c5
Bird Opening - From Gambit,Opening,White,A03,1.f4 e5
Bird Opening - From Gambit - Lasker Variation,Opening,White,A03,1.f4 e5 2.fxe5 d6
Bird Opening - General,Opening,White,A02,1.f4
Bird Opening - Lasker Variation,Opening,White,A03,1.f4 e5 2.fxe5 d6 3.exd6 Bxd6
Bishop's Opening - Berlin Defense,Opening,White,C24,1.e4 e5 2.Bc4 Nf6
Bishop's Opening - General,Opening,White,C23,1.e4 e5 2.Bc4
Bishop's Opening - Berlin Defense,Opening,White,C24,1.e4 e5 2.Bc4 Nf6
Bishop's Opening - Blaniel Gambit,Opening,White,C23,1.e4 e5 2.Bc4 d5
Bishop's Opening - Boden-Kieseritsky Gambit,Opening,White,C24,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3
Bishop's Opening - Boi Variation,Opening,White,C24,1.e4 e5 2.Bc4 Nf6 3.Nc3
Bishop's Opening - General,Opening,White,C23,1.e4 e5 2.Bc4
Bishop's Opening - Ponziani Gambit,Opening,White,C24,1.e4 e5 2.Bc4 Nf6 3.Nf3 Nxe4 4.d4
Bishop's Opening - Urusov Gambit,Opening,White,C24,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3
Bishop's Opening - Urusov Gambit - Keidansky Gambit,Opening,White,C24,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 d5
Bishop's Opening - Vienna Hybrid,Opening,White,C24,1.e4 e5 2.Nc3 Nf6 3.Bc4
Bishop's Opening - Vienna Hybrid - Hromadka Variation,Opening,White,C24,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nxe4 d5
Bishop's Opening - Vienna Hybrid - Spielmann Attack,Opening,White,C24,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nc6 4.d3
Blackburne Shilling Gambit Trap,Trap,Black,C20,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4?!
Blackburne Shilling Gambit Trap,Trap,Black,C20,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4?!
Blackmar-Diemer Gambit - Declined - Langeheinecke Defense,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6
Blackmar-Diemer Gambit - Euwe Defense,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 c6
Blackmar-Diemer Gambit - Netherlands Variation,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4
Blackmar-Diemer Gambit - Teichmann Variation,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 c5
Blackmar-Diemer Gambit - Vienna Variation,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Nc6
Blackmar-Diemer Gambit - Von Popiel Gambit,Opening,White,D00,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5
Blumenfeld Countergambit - Accepted,Opening,Black,E10,1.d4 Nf6 2.c4 e6 3.Nf3 c5
Blumenfeld Countergambit - Dus-Chotimursky Variation,Opening,Black,E10,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6
Blumenfeld Countergambit - General,Opening,Black,E10,1.d4 Nf6 2.c4 e6 3.Nf3 c5
Blumenfeld Countergambit - Spielmann Variation,Opening,Black,E10,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.a4 b4
Bogo-Indian Defense - Main Line,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
Bogo-Indian Defense - Exchange Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2
Bogo-Indian Defense - Grünfeld Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 c5
Bogo-Indian Defense - Nimzowitsch Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 c5 5.a3
Bogo-Indian Defense - Retreat Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 O-O 5.a3
Bogo-Indian Defense - Vitolinsh Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 b6
Bogo-Indian Defense - Wade-Smyslov Variation,Opening,Black,E11,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2 Bb7
Budapest Defense - Adler Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.Nc3 d6 4.Nf3 Nbd7 5.e4 Be7
Budapest Defense - Alekhine Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.Nc3 d6 4.Nf3 Nbd7 5.Bg5
Budapest Defense - Alekhine Variation - Abonyi Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.Nc3 d6 4.Nf3 Nbd7 5.Bg5 Be7
Budapest Defense - Fajarowicz Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
Budapest Defense - General,Opening,Black,A52,1.d4 Nf6 2.c4 e5
Budapest Defense - Rubinstein Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.Nf3 e4 4.Nd4
Budapest Gambit  -,Opening,Black,A52,1.d4 Nf6 2.c4 e5
Budapest Gambit - Fajarowicz Variation,Opening,Black,A52,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
Cambridge Springs Trap,Trap,Black,D52,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 c6 6.Nf3 Qa5
Carlsen's Na5 vs Anand,Opening,Black,-,-
Caro-Kann Defense  -,Opening,Black,B12,1.e4 c6 2.d4 d5
Caro-Kann Defense Advance Variation,Opening,White,B12,1.e4 c6 2.d4 d5 3.e5
Caro-Kann Defense Bronstein-Larsen Variation,Opening,Black,B12,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6
Caro-Kann Defense Classical Variation,Opening,Black,B12,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
Caro-Kann Defense Classical - 4...Bf5,Opening,Black,B12,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
Caro-Kann Defense Classical - 9.O-O-O,Opening,Black,B17,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6 6.Nf3 Bg4 7.Be2 e6 8.O-O-O
Caro-Kann Defense Exchange Variation,Opening,White,B12,1.e4 c6 2.d4 d5 3.exd5 cxd5
Caro-Kann Defense Karpov Variation,Opening,Black,B12,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
Caro-Kann Defense Panov-Botvinnik Attack,Opening,White,B13,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4
Caro-Kann Defense Two Knights Variation,Opening,Black,B14,1.e4 c6 2.Nc3 d5 3.Nf3
Caro-Kann Defense - Accelerated Panov Attack,Opening,White,B13,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4
Caro-Kann Defense - Accelerated Panov Attack,Opening,White,B13,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4
